product_type,product_name,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Muizen,"Logitech Mouse M90","21,99","Logitech","910-001793","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Bedraad","Bedraad","8,7 cm x 13,2 cm x 4,2 cm","Zwart"
Muizen,"Logitech M220 Silent Draadloze Muis Blauw","21,99","Logitech","910-004879","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Blauw"
Gaming muizen,"Razer DeathAdder Elite","73,-","Razer","142997","None","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","7 cm x 12,7 cm x 4,4 cm","Zwart"
Gaming muizen,"Logitech G403 Prodigy Corded","59,-","Logitech G","910-004825","None","Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","6,8 cm x 12,4 cm x 4,3 cm","Zwart"
Muizen,"HP X3000 Wireless Mouse","21,99","HP","H2C22AA#ABB","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","5,588 cm x 3,81 cm x 9,398 cm","Zwart"
Muizen,"Logitech Wireless Mouse M560 Zwart","44,99","Logitech","910-003882","Full-size","Linkshandig, Rechtshandig","5 knoppen","Optisch","None","Draadloos","Nee","11,2 cm x 6,8 cm x 3,9 cm","Zwart"
Muizen,"Logitech M220 Silent Draadloze Muis Rood","21,99","Logitech","910-004880","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Rood"
Muizen,"Apple Magic Trackpad 2","144,90","Apple","mj2r2z/a","Trackpad","Linkshandig, Rechtshandig","None","Touch","None","Draadloos","Nee","16 cm x 11,49 cm x 0,49 cm","Zilver"
Muizen,"Trust Evo Advanced Laser Muis","33,99","Trust","19829","Full-size","Rechtshandig","8 knoppen","Laser","None","Draadloos","Nee","8,2 cm x 12,5 cm x 4,6 cm","Zwart, Zilver"
Gaming muizen,"Razer Mamba Tournament Edition","89,-","Razer","124881","None","Rechtshandig","9 knoppen","Laser","None","Bedraad","Ja","7 cm x 12,8 cm x 4,25 cm","Zwart"
Muizen,"Logitech MX Master 2S Draadloze Muis Zwart","109,99","Logitech","910-005139","Full-size","Rechtshandig","7 knoppen","Laser","None","Draadloos","Ja","8,5 cm x 12,6 cm x 4,8 cm","Zwart"
Muizen,"Logitech Wireless Trackball M570","72,99","Logitech","910-001882","Full-size","Rechtshandig","5 knoppen","Trackball","None","Draadloos","None","14,5 cm x 4,5 cm x 9,5 cm","Zwart"
Gaming muizen,"Trust GXT 152 Illuminated","21,99","Trust","19509","None","Linkshandig, Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","7,9 cm x 12,1 cm x 3,8 cm","Oranje"
Muizen,"HP Z3700 Draadloze Muis Zwart","22,99","HP","V0L79AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","6 cm x 10,1 cm x 2,53 cm","Zwart"
Muizen,"Logitech Wireless Mouse M325 (Grijs)","34,99","Logitech","910-002142","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,47 cm x 3,91 cm x 5,7 cm","Grijs, Zwart"
Muizen,"Microsoft Wireless Mobile Mouse 3600 Rood","34,99","Microsoft","PN7-00014","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,53 cm x 5,69 cm x 4,04 cm","Rood"
