product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Acer Aspire ES1-523-81VF","499,-","Acer","NX.GKYEH.047","15,6 inch","1920 x 1080 pixels","AMD A8 7410","AMD Radeon R5","None","8 GB","256 GB SSD","38,18 cm x 25,8 cm x 2,46 cm","2,4 kg"
Laptops QWERTY,"Acer Aspire ES1-132-C0R8","229,-","Acer","NX.GGLEH.009","11,6 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","32 GB Flash","29,1 cm x 21,1 cm x 2,1 cm","1,25 kg"
Laptops QWERTY,"Acer Aspire ES1-332-C53V","399,-","Acer","NX.GFZEH.006","13,3 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","500 GB HDD","32,7 cm x 21,6 cm x 2,28 cm","1,7 kg"
Laptops QWERTY,"Lenovo Ideapad 320-17IKB 80XM009JMH","699,-","Lenovo","80XM009JMH","17,3 inch","1600 x 900 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD + 1 TB HDD","41,8 cm x 29,3 cm x 2,49 cm","2,8 kg"
Laptops QWERTY,"HP Pavilion X360 14-ba091nd","779,-","HP","2GR38EA#ABH","14 inch","None","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"HP Pavilion Power 15-cb091nd","1.249,-","HP","2FN08EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","37,8 cm x 25,22 cm x 2,41 cm","2,21 kg"
Laptops QWERTY,"Acer Chromebook R13 CB5-312T-K7SP","449,-","Acer","NX.GL4EH.005","13 inch","1920 x 1080 pixels","Mediatek MT8173","Imagination GX6250","None","4 GB","64 GB flash","32,6 cm x 22,8 cm x 1,55 cm","1,49 kg"
Laptops QWERTY,"Acer Aspire 5 A515-51G-58NR","699,-","Acer","NX.GPDEH.001","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","256 GB SSD","38,16 cm x 26,3 cm x 2,16 cm","2,2 kg"
Laptops QWERTY,"HP Pavilion 17-ab273nd","1.349,-","HP","Z5E81EA","17,3 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","41,6 cm x 27,9 cm x 2,99 cm","2,85 kg"
Laptops QWERTY,"Asus ZenBook UX410UA-GV028T","899,-","Asus","90NB0DL1-M03870","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
